,old_formation,EE,change_to
6844,Ferruginous Sands,present,Ferruginous Sands
6782,Fezouata,present,Fezouata
1786,Fezouata Shale,present,Fezouata
1787,Ffairfach Ashes and Lavas,absent,Ffairfach Ashes and Lavas
1788,Ffestiniog Flags,absent,Ffestiniog Flags
9525,FHS,present,FHS
6812,Fiddlers Green,present,Fiddlers Green
1789,Figuerola,absent,Figuerola
1790,Figuieres,absent,Figuieres
1791,Fika Shale,absent,Fika Shale
1792,Filakovo,absent,Filakovo
1793,Filipp’el,absent,Filipp’el
1794,Filisolo,absent,Filisolo
6660,Fillmore,present,Fillmore
1795,Fillmore Limestone,present,Fillmore
1796,Findenig,absent,Findenig
7793,Finikia,present,Finikia
1797,Finlay,absent,Finlay
1798,Finnentrop,absent,Finnentrop
9578,Fiqa,present,Fiqa
1799,First,absent,First
16,First',absent,First
1800,Fishburne,absent,Fishburne
8337,Fishing Point Marl,present,Fishing Point Marl
1801,Fitchville,absent,Fitchville
8774,Fite Ranch Sandstone,present,Fite Ranch Sandstone
1802,Fitzroy Tillite,absent,Fitzroy Tillite
1803,Five Yard Cyclothem,absent,Five Yard Cyclothem
1804,Five Yard Limestone VI,absent,Five Yard Limestone VI
1805,Five Yard Limestone VI Cyclothem,absent,Five Yard Limestone VI Cyclothem
1806,Five Yard Limestone VIa,absent,Five Yard Limestone VIa
1807,Five Yard Limestone VIa Cyclothem,absent,Five Yard Limestone VIa Cyclothem
1808,Five Yard Limestone VIb,absent,Five Yard Limestone VIb
1809,Fjacka Shale,absent,Fjacka Shale
1810,Fjäcka Shale,absent,Fjacka Shale
9445,Fjerritslev,present,Fjerritslev
1811,Fkirine,absent,Fkirine
1812,Flagstaff,absent,Flagstaff
1813,Flagstaff Sandstone,absent,Flagstaff
8830,Flanner Beach,present,Flanner Beach
1814,Flat Creek,absent,Flat Creek
8631,Flat Top,present,Flat Top
1815,Fleanor Mill,absent,Fleanor Mill
7707,Flechado,present,Flechado
1816,Fleons Graywacke,absent,Fleons Graywacke
6815,Flett,present,Flett
7996,Flint River,present,Flint River
8893,Florena,present,Florena
1817,Florentine Valley,absent,Florentine Valley
6658,Floresta,present,Floresta
1818,Floresta-Labateca,absent,Floresta-Labateca
1819,Florian,absent,Florian
1820,Florianer Schichten,absent,Florianer Schichten
1821,Florida Mountains,absent,Florida Mountains
9894,Flournoy,present,Flournoy
7812,Flowers,present,Flowers
1822,Floyd Shale,absent,Floyd Shale
1823,Flume,absent,Flume
7167,Fluminimaggiore,present,Fluminimaggiore
1824,Fodele,absent,Fodele
8310,Fődolomit,present,Fődolomit
1825,Foel,absent,Foel
9993,Fogi,present,Fogi
1826,Foix,absent,Foix
1827,Fol'k,absent,Fol'k
1828,Foldedal,absent,Foldedal
1829,Foldvik Creek,absent,Foldvik Creek
6848,Folkestone,present,Folkestone
9646,Folkestone,present,Folkestone
1830,Folkestone ,present,Folkestone
1831,Fombuena,absent,Fombuena
1832,Font Bordonera,absent,Font Bordonera
1833,Fontaine Salée,absent,Fontaine Salée
6601,Fonte da Horta,present,Fonte da Horta
1834,Fontjoncouse,absent,Fontjoncouse
1835,Fonyaszo Limestone,absent,Fonyaszo Limestone
9347,Foraker,present,Foraker
1836,Foraker limestone,present,Foraker
7089,Foraker Limestone,present,Foraker
7623,Forbes,present,Forbes
10185,Forcall,present,Forcall
7144,Ford,present,Ford
1837,Foreknobs,absent,Foreknobs
9424,Foreman,present,Foreman
7683,Foremost,present,Foremost
1838,Forest Bed,absent,Forest Bed
6983,Forest Hill,present,Forest Hill
1839,Forest Hollow Beds,absent,Forest Hollow Beds
7336,Forest Marble,present,Forest Marble
1840,Forgotten Limestone,absent,Forgotten Limestone
10201,Formación Arqueros,present,Formación Arqueros
10197,Formación Coquimbo,present,Formación Coquimbo
1841,Formación Coquimbo ,present,Formación Coquimbo
10199,Formación Quebrada Marquesa,present,Formación Quebrada Marquesa
1842,Formigoso,absent,Formigoso
6708,Fort Ann,present,Fort Ann
8614,Fort Apache,present,Fort Apache
1843,Fort Atkinson,absent,Fort Atkinson
1844,Fort Atkinson Limestone,absent,Fort Atkinson
6709,Fort Cassin,present,Fort Cassin
1845,Fort Crittenden,absent,Fort Crittenden
1846,Fort Gaines,absent,Fort Gaines
1847,Fort Lancaster,absent,Fort Lancaster
1848,Fort Payne,absent,Fort Payne
1849,Fort Payne ,absent,Fort Payne
1850,Fort Payne Chert,absent,Fort Payne
9120,Fort Riley,present,Fort Riley
1851,Fort Scott,present,Fort Scott
6802,Fort Scott Limestone,present,Fort Scott
1852,Fort Simpson,absent,Fort Simpson
7520,Fort Thompson,present,Fort Thompson
9435,Fort Worth Limestone,present,Fort Worth Limestone
6403,Forteau,present,Forteau
1853,Fosses,absent,Fosses
1854,Fossil Bluff,present,Fossil Bluff
8354,Fossil Bluff Sandstone,present,Fossil Bluff
8686,Fossil Cliff,present,Fossil Cliff
1855,Fossil Downs,absent,Fossil Downs
1856,Fossil Hill,absent,Fossil Hill
1857,Fossil Hill Limestone,absent,Fossil Hill
1858,Fossum,absent,Fossum
6375,Fosters Point,present,Fosters Point
1859,Foum el Mejez,absent,Foum el Mejez
1860,Foum Ennemil Shale,absent,Foum Ennemil Shale
9831,Four Corners,present,Four Corners
8695,Four Mile Dam,present,Four Mile Dam
1861,Fouzir,absent,Fouzir
7845,Fox Hills,present,Fox Hills
1862,Fox Hills Sandstone,present,Fox Hills
