,old_formation,EE,change_to
56,2dε,absent,2dε
57,A,absent,A
14,A',absent,A'
58,Aachen,absent,Aachen
59,Aalter,absent,Aalter
60,Abad,absent,Abad
61,Abadeh,absent,Abadeh
7246,Abadia,present,Abadia
62,Abazinka,absent,Abazinka
9698,Abbotsford Mudstone,present,Abbotsford Mudstone
63,Abderaz,absent,Abderaz
8224,Abeih,present,Abeih
9975,Abel Head,present,Abel Head
9079,Abels Bay,present,Abels Bay
64,Abenaki,absent,Abenaki
65,Abercrombie,absent,Abercrombie
66,Aberdeen Lake,absent,Aberdeen Lake
7145,Aberdouz,present,Aberdouz
7013,Aberhan Pliensbach,present,Aberhan Pliensbach
7012,Aberhan Sinemur,present,Aberhan Sinemur
7014,Aberhan Toarc,present,Aberhan Toarc
7811,Abisinia,present,Abisinia
8016,Ablakoskövölgy Limestone,present,Ablakoskövölgy Limestone
8303,Abrakurrie Limestone,present,Abrakurrie Limestone
7712,Abu Durba,present,Abu Durba
67,Abu Hashish,absent,Abu Hashish
68,Abu Imama,absent,Abu Imama
9171,Abu Qada,present,Abu Qada
69,Abu Qada/Raha,absent,Abu Qada/Raha
9438,Abu Roash,present,Abu Roash
19,Abu Tartur,absent,Abu Tartur
70,Abundancia,absent,Abundancia
71,Acadoparadoxides oelandicus Shales,absent,Acadoparadoxides oelandicus Shales
9968,Acanthopyge,present,Acanthopyge
72,Acanthopyge Limestone,absent,Acanthopyge Limestone
10274,Achdorf,present,Achdorf
73,Achen,absent,Achen
74,Acheshbok,absent,Acheshbok
75,Achladia,absent,Achladia
6569,Acoite,present,Acoite
76,Acre Limestone,absent,Acre Limestone
7918,Acredale,present,Acredale
6672,Acton Scott,present,Acton Scott
77,Adaev,absent,Adaev
7474,Adam Mudstone,present,Adam Mudstone
78,Adams Bjerg,absent,Adams Bjerg
8603,Adatsag,present,Adatsag
79,Adila,absent,Adila
7563,Adjuntas,present,Adjuntas
9221,Admiral,present,Admiral
9560,Adnet,present,Adnet
80,Adorf,absent,Adorf
81,Adorf-Bänderschiefer,absent,Adorf-Bänderschiefer
6764,Advance,present,Advance
8606,Adz'va,present,Adz'va
82,Adze,absent,Adze
8507,Aertashi,present,Aertashi
83,Aftenstjernesø,absent,Aftenstjernesø
6478,Aftenstjernesø Fjord,present,Aftenstjernesø Fjord
20,AG 4,absent,AG 4
84,AG4,absent,AG 4
9056,Agabyt,present,Agabyt
10116,Agardfjellet,present,Agardfjellet
9625,Agardhfjellet,present,Agardhfjellet
7125,Agatdal,present,Agatdal
9283,Ager,present,Ager
8713,Agglomeratic Slate,present,Agglomeratic Slate
85,Aghia Varvara,absent,Aghia Varvara
10038,Agidyl,present,Agidyl
86,Agnevskaya,absent,Agnevskaya
8197,Agoudim,present,Agoudim Marls
87,Agoudim Marls,present,Agoudim Marls
7354,Agrio,present,Agrio
7988,Agua Clara,present,Agua Clara
88,Agua de Lucho,absent,Agua de Lucho
10143,Agua de Madeiros,present,Agua de Madeiros
9567,Água de Madeiros,present,Agua de Madeiros
89,Agua Nueva,absent,Agua Nueva
90,Agua Salada,absent,Agua Salda
91,Agua Salda,absent,Agua Salda
8844,Aguada Limestone,present,Aguada Limestone
92,Aguathuna,absent,Aguathuna
7950,Agueguexquite,present,Agueguexquite
93,Agui-Ula,absent,Agui-Ula
94,Aguion,absent,Aguion
95,Aguión,absent,Aguion
7019,Aguja,present,Aguja
96,Agwu Shale,absent,Agwu Shale
97,Ahbach,absent,Ahbach
98,Aheimer,absent,Aheimer
8067,Ahlen,present,Ahlen
9319,Ahmadi,present,Ahmadi
99,Ahrdorf,absent,Ahrdorf
100,Aiduna,absent,Aiduna
9326,Aifat,present,Aifat
101,Aigu,absent,Aigu
9327,Aimau,present,Aimau
102,Aïn  Khira,absent,Aïn  Khira
103,Ain ed Dick Limestone,absent,Ain ed Dick Limestone
104,Aïn el Guettar,absent,Aïn el Guettar
105,Ain Targa,absent,Ain Targa
106,Aïn-Al-Aliliga,absent,Aïn-Al-Aliliga
107,Aïn-as-Seffah,absent,Aïn-as-Seffah
8311,Ainoura,present,Ainoura
108,Aisemont,absent,Aisemont
109,Aït Athmane,absent,Aït Athmane
10135,Ait Ouarhitane,present,Ait Ouarhitane
110,Aitamir,absent,Aitamir
8416,Aitym,present,Aitym
111,Aix-en-Provence,absent,Aix-en-Provence
6452,Ajax Limestone,present,Ajax Limestone
112,Ajiri,absent,Ajiri
8313,Akabira,present,Akabira
113,Akachan,absent,Akachan
9112,Akasaka,present,Akasaka
114,Akasaka Limestone,present,Akasaka
8940,Akasawa Silt,present,Akasaka
115,Akatievo,absent,Akatievo
116,Akaura,absent,Akaura
9530,Akavassky,present,Akavassky
117,Akbaital,absent,Akbaital
118,Akbasai,absent,Akbasai
119,Akbasayskaya,absent,Akbasayskaya
120,Akbulaksai,absent,Akbulaksai
121,Akerchi,absent,Akerchi
7462,Aketo,present,Aketo
10058,Akeyo,present,Akeyo
9123,Akhura,present,Akhura
122,Akiyoshi,absent,Akiyoshi
123,Akkuyu,absent,Akkuyu
124,Akpatok,absent,Akpatok
9299,Akrabou,present,Akrabou
125,Akrech,absent,Akrech
126,Akron,absent,Akron
127,Akrotiri,absent,Akrotiri
10224,Aksala,present,Aksala
9744,Aksucay,present,Aksucay
8992,Aktas,present,Aktas
128,Aktasty,absent,Aktasty
129,Akzhar,absent,Akzhar
130,Al Bad,absent,Al Bad
10069,Al Baniyah,present,Al Baniyah
8480,Al Faidiyah,present,Al Faidiyah
131,Al Hassanat,absent,Al Hassanat
7983,Al Jil,present,Al Jil
8482,Al Jir,present,Al Jir
8489,Al Khums,present,Al Khums
6785,Al Rose,present,Al Rose
132,Al-Hisa Phosphorite,absent,Al-Hisa Phosphorite
133,Alachua,absent,Alachua
134,Alacran Mountain,absent,Alacran Mountain
9793,Alajuela,present,Alajuela
135,Alam,absent,Alam
136,Alan Mountain Limestone,absent,Alan Mountain Limestone
7971,Alapah,present,Alapah
137,Alapah Limestone,present,Alapah Limestone
138,Alaro Calcarenite,absent,Alaro Calcarenite
8875,Alazán,present,Alazán
139,Alba,absent,Alba
140,Albanov,absent,Albanov
9566,Albian,present,Albian
141,Alcântara,absent,Alcântara
6985,Alcobaca,present,Alcobaca
7054,Alcobaça,present,Alcobaca
142,Alcolea,absent,Alcolea
143,Alconera,absent,Alconera
144,Alcsutdoboz Limestone,absent,Alcsutdoboz Limestone
8597,Aldabra Limestone,present,Aldabra Limestone
145,Aldebaran,absent,Aldebaran
8269,Aleksandrovskaya,present,Aleksandrovskaya
146,Aleksin,absent,Aleksin
147,Aleman,absent,Aleman
148,Aleqatsiaq Fjord,absent,Aleqatsiaq Fjord
149,Alexander Bay,absent,Alexander Bay
7475,Alexander Mudstone,present,Alexander Mudstone
150,Alexandra,absent,Alexandra
8499,Alexandria,present,Alexandria
151,Alexo,absent,Alexo
152,Alfred Shale,absent,Alfred Shale
153,Algan,absent,Algan
154,Algodoes,absent,Algodoes
155,Algodões,absent,Algodoes
7779,Alhajuela,present,Alhajuela
8946,Ali Bashi,present,Ali Bashi
8515,Alifian Limestone,present,Alifian Limestone
156,Alikagarskaya,absent,Alikagarskaya
6858,Alikper,present,Alikper
6853,Alisitos,present,Alisitos
9228,Allandale,present,Allandale
8679,Allaru,present,Allaru Mudstone
157,Allaru Mudstone,present,Allaru Mudstone
8098,Allegheny,present,Allegheny
158,Allen Bay,absent,Allen Bay
159,Allgäu,absent,Allgäu
160,Allt Ddu,present,Allt Ddu
161,Allt Ddu Mudstone,present,Allt Ddu
6519,Allt-Ddu Mudstones,present,Allt Ddu
162,Allt-Tair-Ffynnon,absent,Allt-Tair-Ffynnon
163,Almaly,absent,Almaly
164,Almejas,absent,Almejas
9479,Almonacid de la Cuba,present,Almonacid de la Cuba
7235,Almstrom Creek,present,Almstrom Creek
165,Alos de Balaguer,absent,Alos de Balaguer
166,Alòs de Balaguer,absent,Alos de Balaguer
167,Alpena,absent,Alpena
9383,Alsea,present,Alsea
9522,Alston,present,Alston
168,Altamira,absent,Altamira
169,Altamira Shale,absent,Altamira
6804,Altamont,present,Altamont limestone
170,Altamont limestone,present,Altamont limestone
171,Altamont Limestone,present,Altamont limestone
172,Alternancia de margas y calizas de Turmiel,absent,Alternancia de margas y calizas de Turmiel
173,Alternata Limestone,absent,Alternata Limestone
174,Alticola,absent,Alticola Limestone
175,Alticola Limestone,absent,Alticola Limestone
176,Altmühltal,absent,Altmühltal
6801,Alto del Cóndor,present,Alto del Cóndor
177,Altuda,absent,Altuda
178,Alty-Agach,absent,Alty-Agach
7675,Aluginskaya,present,Aluginskaya
179,Alum,absent,Alum
180,Alum Rock Beds,absent,Alum
9906,Alum Shale,present,Alum
181,Alvana limeshales,absent,Alvana limeshales
182,Alveolina- Nummulites Limestone,absent,Alveolina- Nummulites Limestone
183,Alyutovo,absent,Alyutovo
8904,Alzey,present,Alzey
184,Amabe,absent,Amabe
6588,Amadjuak,present,Amadjuak
185,Amain,absent,Amain
7161,Amaltheenton,present,Amaltheenton
9284,Amaltheus Clay,present,Amaltheus
186,Amaltheus Shale,absent,Amaltheus
187,Amana Beds,absent,Amana Beds
188,Amanakskaya,absent,Amanakskaya
7743,Amaninskaya,present,Amanakskaya
8209,Amaral,present,Amaral
8612,Amb,present,Amb
7709,Amba Aradam,present,Amba Aradam
189,Ambelouzos,absent,Ambelouzos
8776,Ambergris Cay Limestone,present,Ambergris Cay Limestone
190,Ambition,absent,Ambition
191,Ameghino,absent,Ameghino
7785,Ameki,present,Ameki
9342,Americus,present,Americus
192,Ames,absent,Ames
6898,Amherstburg,present,Amherstburg
193,Amkanzhin,absent,Amkanzhin
194,Amouslek,absent,Amouslek
195,Ampelouzos,absent,Ampelouzos
7386,Ampthill Clay,present,Ampthill Clay
196,Amravati,absent,Amravati
6965,Amsden,present,Amsden
197,Amsterdam,absent,Amsterdam limestone
198,Amsterdam limestone,absent,Amsterdam limestone
21,Amushan,absent,Amushan
199,Amushan,absent,Amushan
200,An t-Sron,absent,An t-Sron
9851,Anacacho,present,Anacacho Limestone
6889,Anacacho Limestone,present,Anacacho Limestone
8244,Anahuac,present,Anahuac
201,Anaipadi,absent,Anaipadi
2,Ananai,present,Ananai
9639,Ananai,present,Ananai
7270,Anastasia,present,Anastasia
202,Anchorage,absent,Anchorage
203,Anderdon Limestone,absent,Anderdon Limestone
204,Anderken,absent,Anderken
205,Andouille,absent,Andouille
206,Andouillé,absent,Andouille
207,Andrarum Limestone,absent,Andrarum Limestone
208,Andrew Lake,absent,Andrew Lake
209,Anetoceras Limestone,absent,Anetoceras Limestone
210,Angachi,absent,Angachi
8335,Angahook,present,Angahook
211,Angertal,absent,Angertal
212,Angjie,absent,Angjie
213,Angola,absent,Angola
214,Angolo,absent,Angolo
7524,Angostura,present,Angostura
8418,Angouleme,present,Angouleme
8912,Anguilla,present,Anguilla
8811,Angulatensandstein,present,Angulatensandstein
215,Angulatenton,absent,Angulatenton
216,Angullong Tuff,absent,Angullong Tuff
217,Anhee,absent,Anhee
7492,Anidanthus zone,present,Anidanthus zone
218,Anji,absent,Anji
219,Annear,absent,Annear
9208,Annero,present,Annero
220,Annona,present,Annona Chalk
8527,Annona Chalk,present,Annona Chalk
221,Anse a Pierre-Loiselle,absent,Anse a Pierre-Loiselle
6423,Anse Maranda,present,Anse Maranda
222,Anshun,absent,Anshun
223,Anstruther,absent,Anstruther
8864,Antalo,present,Antalo Limestone
8881,Antalo Limestone,present,Antalo Limestone
8236,Antelope,present,Antelope Valley
6480,Antelope Valley,present,Antelope Valley
224,Antietam Sandstone,absent,Antietam Sandstone
8583,Antigua,present,Antigua
225,Antiinsky,absent,Antiinsky
226,Antiklinalbugt,absent,Antiklinalbugt
7399,Antimonio,present,Antimonio
227,Antiya,absent,Antiya
228,Antler Peak,absent,Antler Peak
229,Antognola,absent,Antognola
8851,Aoertu,present,Aoertu
9029,Aoki,present,Aoki
7917,Aokiyama,present,Aokiyama
230,Aorangi Mine,absent,Aorangi Mine
9302,Aoso,present,Aoso
231,Aouinet Ouenine I,absent,Aouinet Ouenine I
7291,Aouinet Ouenine II,present,Aouinet Ouenine II
232,Aouinet Ouenine III,absent,Aouinet Ouenine III
233,Aoxi,absent,Aoxi
234,Apon,absent,Apon
235,Apón,absent,Apon
8366,Apostoli,present,Apostoli
236,Appanoose,absent,Appanoose
10188,Aqra,present,Aqra
7275,Aquia,present,Aquia
7552,Ar Rajmah,present,Ar Rajmah
7685,Arab,present,Arab
9580,Aracs,present,Aracs
8270,Arakayskaya,present,Arakayskaya
7798,Arakida,present,Arakida
237,Aramachay,absent,Aramachay
9635,Arapien Shale,present,Arapien Shale
238,Ararat,absent,Ararat
239,Arato,absent,Arato
7477,Aratozaki,present,Aratozaki
240,Arauz,absent,Arauz
241,Aravis,absent,Aravis
9514,Arawi Shellbed,present,Arawi Shellbed
8566,Araya,present,Araya
242,Arbuckle Brook,absent,Arbuckle Brook
8006,Arcadia,present,Arcadia
243,Arcadia Park,absent,Arcadia Park
244,Arcillas de Gibraleón,absent,Arcillas de Gibraleón
7667,Arcillas de Morella,present,Arcillas de Morella
245,Arco Hills,absent,Arco Hills
7069,Arcturus,present,Arcturus
9741,Ardanatz Sandstone,present,Ardanatz Sandstone
9879,Ardath,present,Ardath
8465,Ardengost,present,Ardengost
246,Ardmore,absent,Ardmore
247,Ardnish,absent,Ardnish
248,Ardon,absent,Ardon
6752,Ardwell Farm,present,Ardwell Farm
8168,Arén,present,Arén
249,Arenal d'en Castell,absent,Arenal d'en Castell
250,Arenaria di Grumi,absent,Arenaria di Grumi
251,Arenaria di Ponsano,absent,Arenaria di Ponsano
8346,Arenas de Huelva,present,Arenas de Huelva
252,Arenas de Utrillas,absent,Arenas de Utrillas
253,Arg,absent,Arg
254,Argilas de Aveiro,absent,Argilas de Aveiro
9725,Argile de Ortovero,present,Argile de Ortovero
6981,Argile de Villerville,present,Argile de Villerville
255,Argile des Flandres,absent,Argile des Flandres
6977,Argiles a Lopha gregarea,present,Argiles a Lopha gregarea
256,Argiles à Plicatules,absent,Argiles à Plicatules
257,Argiles Brunes,absent,Argiles Brunes
258,Argiles d'Octeville,absent,Argiles d'Octeville
259,Argiles de Châtillon,absent,Argiles de Châtillon
8084,Argiles de Ghriss,present,Argiles de Ghriss
8082,Argiles de Lamoriciere,present,Argiles de Lamoriciere
260,Argiles de Montaubert,absent,Argiles de Montaubert
261,Argiles de Saïda,absent,Argiles de Saïda
262,Argiles de Teguentour,absent,Argiles de Teguentour
263,Argiles de Timimoun Inférieur,absent,Argiles de Timimoun Inférieur
264,Argiles silteuses du Béarn.,absent,Argiles silteuses du Béarn.
265,Argiles Tegulines de Courcelles,absent,Argiles Tegulines de Courcelles
266,Argille Azzurre,absent,Argille Azzurre
267,Argille di Ortovera,absent,Argille di Ortovera
268,Argille di Ortovero,absent,Argille di Ortovero
269,Argille di Serrastretta,absent,Argille di Serrastretta
270,Argille Scagliose dei Peloritani,absent,Argille Scagliose dei Peloritani
271,Argille Subappennine,absent,Argille Subappennine
9289,Argilliti di Riva di Solto,present,Argilliti di Riva di Solto
10252,Arguis,present,Arguis
8031,Arida,present,Arida
272,Aridal,absent,Aridal
8812,Arietenkalk,present,Arietenkalk
9025,Arimao,present,Arimao
7442,Arimine,present,Arimine
6735,Arina,present,Arina
6703,Ärina,present,Arina
273,Aring,absent,Aring
8540,Arita,present,Arita
274,Arjona,absent,Arjona
275,Arkachan,absent,Arkachan
276,Arkadelphia,present,Arkadelphia
6923,Arkadelphia marl,present,Arkadelphia
277,Arkona,absent,Arkona
278,Arkona Shale,absent,Arkona
279,Arline,absent,Arline
280,Armàncies,absent,Armàncies
281,Armorique,absent,Armorique
8154,Armuelles,present,Armuelles
282,Arnager Greensand,absent,Arnager
283,Arnager Limestone,absent,Arnager
284,Arndell Sandstone,absent,Arndell Sandstone
6514,Arnestad,present,Arnestad
285,Arnestad - Frognerkilen,present,Arnestad
286,Arnestad or Frognerkilen,present,Arnestad
6505,Arnheim,present,Arnheim
287,Arpa,absent,Arpa
15,Arqov,present,Arqov
7493,Arqov,present,Arqov
288,Arrojos,absent,Arrojos
289,Arroyo,absent,Arroyo
290,Arroyo del Acebron Shales,absent,Arroyo del Acebron Shales
291,Arroyo Grande,absent,Arroyo Grande
7778,Arroyo Malo,present,Arroyo Malo
292,Artemisa,absent,Artemisa
293,Arthur Creek,absent,Arthur Creek
294,Artoles,absent,Artoles
9775,Aruma,present,Aruma
295,Arvison,absent,Arvison
8539,Asagai,present,Asagai
9935,Asagaya,present,Asagaya
9650,Asahi,present,Asahi
296,Asaphus limestone,absent,Asaphus Limestone
297,Asaphus Limestone,absent,Asaphus Limestone
298,Asatausky,absent,Asatausky
299,Asbill Pond,absent,Asbill Pond
8056,Ascot,present,Ascot
300,Asfal,absent,Asfal
9682,Ashawaq,present,Ashawq
301,Ashawq,present,Ashawq
302,Ashfell Limestone,absent,Ashfell Limestone
303,Ashgill,absent,Ashgill
304,Ashgill Shale,absent,Ashgill
10015,Ashiya,present,Ashiya
7410,Ashizawa,present,Ashizawa
305,Ashkidah,absent,Ashkidah
306,Ashley,present,Ashley Mudstone
7665,Ashley Mudstone,present,Ashley Mudstone
307,Ashlock,absent,Ashlock
308,Ashman,absent,Ashman
309,Ashton Limestone,absent,Ashton Limestone
310,Ashville,absent,Ashville
311,Asiento,present,Asiento
10216,Asientos,present,Asiento
312,Asitka,absent,Asitka
313,Askyn,absent,Askyn
314,Askynbashsky,absent,Askynbashsky
9810,Asmari,present,Asmari Limestone
8561,Asmari Limestone,present,Asmari Limestone
315,Aspero,absent,Aspero
316,Asphaltschiefer,absent,Asphaltschiefer
317,Aspidoides Bank,absent,Aspidoides Bank
318,Asrir,absent,Asrir
319,Assekaifaf,absent,Assekaifaf
320,Assise a Gryphees,absent,Assise a Gryphees
321,Assise de Frasnes,absent,Assise de Frasnes
8407,Assises à Orbitolines,present,Assises à Orbitolines
8772,Assistance,present,Assistance
9678,Assomada,present,Assomada
9721,Aston Limestone,present,Aston Limestone
7411,Astoria,present,Astoria
9921,Astoria?,present,Astoria
322,Atafaitafa,absent,Atafaitafa
323,Atahoc,absent,Atahoc
324,Athens,absent,Athens
6843,Atherfield Clay,present,Atherfield Clay
325,Atkan,absent,Atkan
326,Atlântida,absent,Atlântida
327,Atoka,absent,Atoka
8265,Atsunai,present,Atsunai
328,Atsusabu,absent,Atsusabu
329,Attawapiskat,absent,Attawapiskat
330,Aucella Limestone,absent,Aucella Limestone
331,Aucella Sandstone,absent,Aucella Sandstone
332,Auernig,absent,Auernig
333,August Town,absent,August Town
7229,Augusta,present,Augusta
9031,Augusta Mountain,present,Augusta Mountain
334,Auleliai,absent,Auleliai
335,Auquilco,absent,Auquilco
8426,Auradu,present,Auradu Limestone
336,Auradu Limestone,present,Auradu Limestone
337,Aurisina,absent,Aurisina
8769,Aurora Limestone,present,Aurora Limestone
8029,Ausinskaya,present,Ausinskaya
338,Austerberg Limestone,absent,Austerberg Limestone
8524,Austin Chalk,present,Austin Chalk
339,Avella,absent,Avella
9627,Avenal,present,Avenal
340,Avesnelles,absent,Avesnelles
341,Avilov,absent,Avilov
342,Avlandian,absent,Avlandian
343,Avon Bed 4,absent,Avon Bed 4
344,Avon Bed 5,absent,Avon Bed 5
7260,Avon Park,present,Avon Park
9009,Avon Park Limestone,present,Avon Park Limestone
9010,Avon Park limestone,present,Avon Park limestone
345,Awano,absent,Awano
7478,Awazu,present,Awazu
8809,Awgu Limestone,present,Awgu Limestone
346,Awgu Ndeaboh Shale,absent,Awgu Ndeaboh Shale
9307,Aya,present,Aya
347,Ayach'yaga,absent,Ayach'yaga
348,Ayakkuduk,absent,Ayakkuduk
349,Ayala Sandstone,absent,Ayala Sandstone
350,Ayles,absent,Ayles
12,Aylmer,present,Aylmer
6741,Aylmer,present,Aylmer
8843,Aymamón Limestone,present,Aymamón Limestone
351,AymamonLimestone,present,Aymamón Limestone
352,Aymestry Limestone,absent,Aymestry Limestone
353,Ayyuvinskiy,absent,Ayyuvinskiy
354,Azigan,absent,Azigan
10081,Azilé,present,Azilé
355,Aztec Silstone,absent,Aztec Silstone
356,Azul Pampa,absent,Azul Pampa
357,B,absent,B
8097,B3/C1,present,B3/C1
358,Ba'id,absent,Ba'id
10095,Baba,present,Baba
8523,Baba Darves,present,Baba Darves
7181,Babica Beds,present,Babica Beds
359,Babin Sandstone,present,Babin Sandstone
7655,Babino,present,Babin Sandstone
360,Babnizu,absent,Babnizu
361,Babuk,absent,Babuk
362,Babulu,absent,Babulu
363,Bac Thuy,absent,Bac Thuy
364,Bacchus Marsh,absent,Bacchus Marsh
365,Bachu,absent,Bachu
366,Back Bay,absent,Back Bay
9199,Back Rio Grande,present,Back Rio Grande
367,Backsteinkalk,absent,Backsteinkalk
6634,Bad Cache Rapids,present,Bad Cache Rapids
368,Badainjaran,absent,Badainjaran
369,Badamu,absent,Badamu
370,Baden Tegel,absent,Baden Tegel
8698,Bádenas,present,Bádenas
371,Badener-Schichten,absent,Badener-Schichten
372,Badger Flat,absent,Badger Flat
373,Badnerschichten,absent,Badnerschichten
9260,Badong,present,Badong
374,Badragha,absent,Badragha
7363,Baggy,present,Baggy
7377,Baggy Sandstones,present,Baggy
375,Bagh-e Vang,absent,Bagh-e Vang
7344,Baghamshah,present,Baghamshah
8349,Baghmara,present,Baghmara
376,Bagovitsa,absent,Bagovitsa
377,Baguamiao,absent,Baguamiao
9550,Bahamite sequence,present,Bahamite sequence
378,Baharîje,absent,Baharîje
379,Bahariya,absent,Bahariya
380,Bahcecik,absent,Bahcecik
381,Bahia,absent,Bahia
8208,Bahía Inglesa,present,Bahía Inglesa
382,Bahloul,absent,Bahloul
383,Bahloul ,absent,Bahloul
384,Bahram,absent,Bahram
385,Baidingpu,absent,Baidingpu
8991,Baifeng,present,Baifeng
386,Baigara,absent,Baigara
387,Baigendzhi,absent,Baigendzhi
388,Baigendzhin,absent,Baigendzhi
9618,Baijizu,present,Baijizu
389,Baikur,absent,Baikur
390,Baillarge,absent,Baillarge
391,Bainbridge,absent,Bainbridge
10304,Baird,present,Baird
392,Bairnsdale Limestone,absent,Bairnsdale Limestone
6542,Baishuixi,present,Baishuixi
393,Baisun,absent,Baisun
394,Baital,absent,Baital
8438,Baitoa,present,Baitoa
9857,Baitugan,present,Baitugan
395,Baizuo,absent,Baizuo
7633,Bajada del Agria,present,Bajada del Agria
396,Bajtugan,absent,Bajtugan
8678,Baker,present,Baker
397,Balabansai,absent,Balabansai
398,Balakhtison,absent,Balakhtison
399,Balang,absent,Balang
6695,Balclatchie,present,Balclatchie
8162,Balco del Cucut,present,Balco del Cucut
8350,Balcombe Clay,present,Balcombe Clay
9717,Baldissero,present,Baldissero
8169,Baldonnel,present,Baldonnel
400,Balgarene,absent,Balgarene
401,Baliqiliq,absent,Baliqiliq
402,Baliqliq,absent,Baliqiliq
9484,Balladoole,present,Balladoole
403,Ballagan,absent,Ballagan
404,Ballinatray,absent,Ballinatray
405,Ballingoole Limestone,absent,Ballingoole Limestone
406,Ballyadams,absent,Ballyadams
407,Ballymore,absent,Ballymore
408,Ballysteen Limestone,absent,Ballysteen Limestone
409,Balmaseda,absent,Balmaseda
410,Balnakeil,absent,Balnakeil
411,Baltinava,absent,Baltinava
412,Balumtun Sandstone,absent,Balumtun Sandstone
413,Bamchi,absent,Bamchi
414,Ban Cai,absent,Ban Cai
415,Ban Giang,absent,Ban Giang
8663,Ban Nguon,present,Ban Nguon
416,Ban Pap,absent,Ban Pap
9363,Banano,present,Banano
417,banc à harpax,absent,banc à harpax
9701,Banc à verrins,present,Banc à verrins
418,banc roux,absent,banc roux
6622,Bancos Mixtos,present,Bancos Mixtos
9802,Band-e- Chaker,present,Band-e- Chaker
419,Bandah,absent,Bandah
420,Bandera,absent,Bandera
421,Bandodani,absent,Bandodani
422,Banff,absent,Banff
423,Bangor,present,Bangor Limestone
7001,Bangor Limestone,present,Bangor Limestone
424,Banna,absent,Banna
425,Banner,absent,Banner
426,Bannisdale Slates,absent,Bannisdale Slates
7912,Banos del Flaco,present,Banos del Flaco
8815,Baños del Flaco,present,Banos del Flaco
427,Banqao,absent,Banqao
428,Baogete,absent,Baogete
429,Baomoshan,absent,Baomoshan
6538,Baota,present,Baota
430,Bap,absent,Bap
7774,Bar B,present,Bar B
10244,Bara,present,Bara
431,Barabash,absent,Barabash
432,Barabashevka,absent,Barabashevka
9481,Barahona,present,Barahona
10085,Barahona Limestone,present,Barahona
433,Baraniy,absent,Baraniy
434,Baratang ,absent,Baratang 
435,Barciany,absent,Barciany
6568,Bardahessiagh,present,Bardahessiagh
436,Bardo,absent,Bardo
437,Bardstown,absent,Bardstown
9073,Barfield,present,Barfield
438,Bargate Beds,absent,Bargate Beds
439,Bargny,absent,Bargny
7920,Bargy Conglomerate,present,Bargy Conglomerate
440,Baripada Limestone,absent,Baripada Limestone
441,Barlow Inlet,absent,Barlow Inlet
442,Barma,absent,Barma
443,Barnes Island,absent,Barnes Island
444,Barneston,absent,Barneston
445,Barnett,present,Barnett Shale
6819,Barnett Shale,present,Barnett Shale
6736,Barnhart,present,Barnhart
7050,Barnsdall,present,Barnsdall
8996,Barnwell,present,Barnwell
8841,Barnwell Sand,present,Barnwell Sand
446,Barra Honda,absent,Barra Honda
6851,Barranquín,present,Barranquín
447,Barre a Orbitolines,absent,Barre a Orbitolines
448,Barre a Pecten,absent,Barre a Pecten
449,Barreirinha,absent,Barreirinha
450,Barrel Spring,absent,Barrel Spring
22,Barretia Limestone,present,Barretia Limestone
8377,Barrettia Limestone,present,Barretia Limestone
451,Barril Viejo,absent,Barril Viejo
452,Barrios,absent,Barrios
453,Bärschwil,absent,Bärschwil
454,Barton,present,Barton
7415,Barton Beds,present,Barton
7028,Barton Clay,present,Barton
455,Barvaux,absent,Barvaux
8026,Basal Napo,present,Basal Napo
456,Bashi,absent,Bashi
8509,Bashibulake,present,Bashibulake
9804,Basilika,present,Basilika
9767,Baska,present,Baska
457,Bassevelde Sand,absent,Bassevelde Sand
8182,Bastida,present,Bastida
458,Bastimentos,absent,Bastimentos
6398,Bastion,present,Bastion
6949,Bateque,present,Bateque
459,Batesville,absent,Batesville
460,Batesville Sandstone,absent,Batesville
461,Bateun Beni Zid,absent,Bateun Beni Zid
462,Bath,absent,Bath
463,Bathurst,present,Bathurst Island
7350,Bathurst Island,present,Bathurst Island
464,Baton,absent,Baton
465,Baton River,absent,Baton River
8925,Battery,present,Battery
466,Batu Putih,absent,Batu Putih Limestone
467,Batu Putih Limestone,absent,Batu Putih Limestone
8192,Batuputih,present,Batuputih
468,Batursofi,absent,Batursofi
8242,Baucina,present,Baucina
469,Baumann Fiord,absent,Baumann Fiord
470,Baumberge,absent,Baumberge
471,Bavnodde Greensand,absent,Bavnodde Greensand
472,Bay,absent,Bay
9955,Bay Point,present,Bay Point
473,Bayada,absent,Bayada
6386,Bayan Gol,present,Bayan Gol
474,Bayan Kol,absent,Bayan Kol
475,Bayan-Gol,present,Bayan Gol
476,Bayanaulian,absent,Bayanaulian
6388,Bayangol,present,Bayangol
477,Bayankalashan,absent,Bayankalashan
478,Bayard,absent,Bayard
479,Bayhorse Red Siltstone,absent,Bayhorse Red Siltstone
480,Bayinhe,absent,Bayinhe
9561,Bayirkoy,present,Bayirkoy
6683,Bays,present,Bays
481,Bayshore,absent,Bayshore
482,Baysun,absent,Baysun
483,Baytugan,absent,Baytugan
484,Baywulla,absent,Baywulla
485,Bazaikha,absent,Bazaikha
486,Bazardarian,absent,Bazardarian
487,Bazardarin,absent,Bazardarin
488,Bazhenov,absent,Bazhenov
489,Bazyab,absent,Bazyab
7224,Beacon Limestone,present,Beacon Limestone
